name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_KS_12_85MM_AA_GUN,1,1,222,28,13,3,0,KS-12 85mm AA Gun,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_S_60_57MM_AA_GUN,1,1,222,28,13,4,0,S-60 57mm AA Gun,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_M1939_37MM_AA_GUN,1,1,222,28,13,5,0,M1939 37mm AA Gun,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_ZU_23_TWIN_23MM_AA_GUN,1,1,222,28,13,6,0,ZU-23 twin 23mm AA Gun,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG,1,1,222,28,13,7,0,14.5mm ZPU AA MG,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG_ZPU_1,1,1,222,28,13,7,1,14.5mm ZPU AA MG ZPU-1,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG_ZPU_2,1,1,222,28,13,7,2,14.5mm ZPU AA MG ZPU-2,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG_ZPU_4,1,1,222,28,13,7,3,14.5mm ZPU AA MG ZPU-4,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD_14_5MM_ZPU_AA_MG
CIS_PLAT_LAND_ADUE_SSC_3_STYX_A_B_C_VARIANT_LNCHR,1,1,222,28,14,0,0,SSC-3 Styx A/B/C/ variant launcher,1,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_SS_N_3B_C_SHADDOCK_SEPAL_LNCHR,1,1,222,28,15,0,0,SS-N-3B/C Shaddock/Sepal launcher,1,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_SS_N_22_SUNBURN_LNCHR,1,1,222,28,16,0,0,SS-N-22 Sunburn launcher,1,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_SSC_X_5_SS_NX_26_LNCHR,1,1,222,28,17,0,0,SSC-X-5 (SS-NX-26) launcher,1,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_SSC_6_SS_N_25_LNCHR,1,1,222,28,18,0,0,SSC-6 (SS-N-25) launcher,1,0,0,CIS_PLAT_LAND_ADUE
