value,name,national_desc,nato_desc,comm_designation_desc,deleted,new,SISO
21895,EMITTER_NANJING_C,0,Nanjing C,0,0,0,0
21915,EMITTER_NAYADA,Nayada,0,0,0,0,0
21960,EMITTER_NEPTUN,Neptun,0,0,0,0,0
21980,EMITTER_NIKE_TT,0,NIKE TT,0,0,0,0
22005,EMITTER_NRBA_50,NRBA 50,0,0,0,0,0
22050,EMITTER_NRBA_51,NRBA 51,0,0,0,0,0
22095,EMITTER_NRBF_20A,NRBF 20A,0,0,0,0,0
22140,EMITTER_NYSA_B,0,Nysa B,0,0,0,0
22185,EMITTER_O524A,0,O524A,0,0,0,0
22230,EMITTER_O580B,0,O580B,0,0,0,0
22275,EMITTER_O625Z,0,O625Z,0,0,0,0
22320,EMITTER_O626Z,0,O626Z,0,0,0,0
22345,EMITTER_ODD_GROUP,0,Odd Group,0,0,0,0
22365,EMITTER_ODD_LOT,0,Odd Lot,0,0,0,0
22410,EMITTER_ODD_PAIR,0,Odd Pair,0,0,0,0
22455,EMITTER_OKA,0,Oka,0,0,0,0
22500,EMITTER_OKEAN,OKEAN,0,0,0,0,0
22545,EMITTER_OKINXE_12C,OKINXE 12C,0,0,0,0,0
22590,EMITTER_OMEGA,OMEGA,0,0,0,0,0
22635,EMITTER_OMERA_ORB32,Omera ORB32,0,0,0,0,0
22680,EMITTER_ONE_EYE,0,One Eye,0,0,0,0
22690,EMITTER_OP_28,OP-28,0,0,0,0,0
22725,EMITTER_OPS_16B,OPS-16B,0,0,0,0,0
22730,EMITTER_OPS_18,OPS-18,0,0,0,0,0
22740,EMITTER_OPS_28,OPS-28,0,0,0,0,0
22770,EMITTER_OR_2,0,OR-2,0,0,0,0
22810,EMITTER_ORB_31S,ORB-31S,0,0,0,0,0
22815,EMITTER_ORB_32,ORB 32,0,0,0,0,0
22860,EMITTER_ORION_RTN_10X,Orion Rtn 10X,0,0,0,0,0
22905,EMITTER_OTOMAT_MK_II_TESEO,Otomat MK II Teseo,0,0,0,0,0
22950,EMITTER_OWL_SCREECH,0,Owl Screech,0,0,0,0
